kjonn;studieretning_utdanningsprogram;fullforingsgrad;foreldrenes_utdanningsniva;intervall_ar;elever;andel_elever_prosent
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2009-2014;7238;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2010-2015;7662;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2011-2016;7900;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2012-2017;8435;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Lang høyere utdanning;2013-2018;8700;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;1994-1999;12718;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;1997-2002;13550;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;1998-2003;13719;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;1999-2004;13745;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2000-2005;14274;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2001-2006;14676;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2002-2007;15417;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2003-2008;16247;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2004-2009;17431;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2005-2010;18554;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2006-2011;19199;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2007-2012;19839;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2008-2013;20283;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2009-2014;20582;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2010-2015;21031;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2011-2016;21770;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2012-2017;22544;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Kort høyere utdanning;2013-2018;22733;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;1994-1999;29127;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;1997-2002;26441;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;1998-2003;26623;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;1999-2004;25286;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2000-2005;25271;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2001-2006;25171;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2002-2007;25613;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2003-2008;26175;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2004-2009;27510;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2005-2010;28059;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2006-2011;28606;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2007-2012;28570;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2008-2013;28239;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2009-2014;27580;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2010-2015;27755;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2011-2016;27370;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2012-2017;27223;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Videregående utdanning;2013-2018;26006;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;1994-1999;6683;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;1997-2002;6819;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;1998-2003;6663;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;1999-2004;6581;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2000-2005;6408;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2001-2006;6581;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2002-2007;6711;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2003-2008;6880;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2004-2009;6925;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2005-2010;7003;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2006-2011;6793;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2007-2012;6870;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2008-2013;6509;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2009-2014;6243;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2010-2015;6060;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2011-2016;6135;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2012-2017;5985;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Grunnskoleutdanning;2013-2018;5749;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;1994-1999;816;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;1997-2002;727;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;1998-2003;609;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;1999-2004;547;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2000-2005;742;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2001-2006;825;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2002-2007;969;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2003-2008;1116;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2004-2009;1163;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2005-2010;1369;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2006-2011;1189;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2007-2012;934;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2008-2013;1080;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2009-2014;1144;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2010-2015;1329;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2011-2016;1680;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2012-2017;1979;100
Begge kjønn;Alle studieretninger/utdanningsprogram;I alt;Uoppgitt utdanning;2013-2018;2245;100
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1994-1999;31638;58.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1997-2002;29726;56.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1998-2003;30924;58.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1999-2004;30026;58.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2000-2005;28526;54.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2001-2006;29936;56.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2002-2007;30387;55.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2003-2008;31139;55.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2004-2009;32829;55.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2005-2010;34725;56.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2006-2011;35109;56.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2007-2012;35460;56.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2008-2013;36189;57.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2009-2014;35617;56.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2010-2015;37955;59.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2011-2016;38218;58.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2012-2017;39740;60.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2013-2018;40449;61.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1994-1999;3913;78.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1997-2002;3950;76.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1998-2003;4167;80.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1999-2004;4117;79.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2000-2005;4084;77.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2001-2006;4298;78.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2002-2007;4601;79.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2003-2008;4584;78.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2004-2009;4834;77.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2005-2010;4976;78.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2006-2011;5201;78
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2007-2012;5218;77.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2008-2013;5500;77
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2009-2014;5604;77.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2010-2015;6016;78.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2011-2016;6174;78.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2012-2017;6654;78.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2013-2018;6938;79.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1994-1999;9005;70.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1997-2002;9218;68
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1998-2003;9638;70.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1999-2004;9719;70.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2000-2005;9589;67.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2001-2006;10132;69
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2002-2007;10391;67.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2003-2008;10957;67.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2004-2009;11603;66.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2005-2010;12588;67.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2006-2011;12879;67.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2007-2012;13281;66.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2008-2013;13732;67.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2009-2014;13638;66.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2010-2015;14491;68.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2011-2016;14759;67.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2012-2017;15495;68.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2013-2018;15984;70.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1994-1999;16006;55
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1997-2002;13992;52.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1998-2003;14520;54.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1999-2004;13707;54.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2000-2005;12576;49.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2001-2006;13045;51.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2002-2007;12880;50.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2003-2008;13044;49.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2004-2009;13782;50.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2005-2010;14529;51.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2006-2011;14501;50.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2007-2012;14446;50.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2008-2013;14452;51.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2009-2014;14053;51
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2010-2015;14883;53.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2011-2016;14628;53.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2012-2017;14770;54.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2013-2018;14593;56.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1994-1999;2482;37.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1997-2002;2396;35.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1998-2003;2412;36.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1999-2004;2343;35.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2000-2005;2076;32.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2001-2006;2227;33.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2002-2007;2226;33.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2003-2008;2230;32.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2004-2009;2234;32.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2005-2010;2179;31.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2006-2011;2162;31.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2007-2012;2249;32.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2008-2013;2163;33.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2009-2014;1991;31.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2010-2015;2137;35.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2011-2016;2156;35.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2012-2017;2221;37.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2013-2018;2249;39.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1994-1999;232;28.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1997-2002;170;23.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1998-2003;187;30.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1999-2004;140;25.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2000-2005;201;27.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2001-2006;234;28.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2002-2007;289;29.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2003-2008;324;29
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2004-2009;376;32.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2005-2010;453;33.1
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2006-2011;366;30.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2007-2012;266;28.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2008-2013;342;31.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2009-2014;331;28.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2010-2015;428;32.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2011-2016;501;29.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2012-2017;600;30.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2013-2018;685;30.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1994-1999;5577;10.3
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1997-2002;7839;14.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1998-2003;6865;13
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1999-2004;6447;12.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2000-2005;7706;14.8
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2001-2006;6543;12.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2002-2007;6930;12.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2003-2008;7308;13
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2004-2009;7982;13.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2005-2010;7789;12.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2006-2011;8375;13.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2007-2012;8132;12.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2008-2013;8473;13.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2009-2014;9050;14.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2010-2015;8769;13.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2011-2016;9532;14.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2012-2017;9935;15
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2013-2018;8847;13.5
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1994-1999;548;10.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1997-2002;688;13.4
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1998-2003;582;11.2
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1999-2004;549;10.6
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2000-2005;628;11.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2001-2006;542;9.9
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2002-2007;564;9.7
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2003-2008;587;10
Begge kjønn;Alle studieretninger/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2004-2009;630;10.2
